Fichier,Chanteur,Chanson
Claude François - Belinda.mp4,Claude François,Belinda
Georges Brassens - Une jolie fleur.mp4,Georges Brassens,Une jolie fleur
Celine Dion - Seduces me wvocals.mp4,Celine Dion,Seduces me wvocals
Johnny Hallyday - Joue pas de rock'n roll.mp4,Johnny Hallyday,Joue pas de rock'n roll
Umberto Tozzi - Toi Tu (avec Cerena).mp4,Umberto Tozzi,Toi Tu (avec Cerena)
Irish - The Irish Rover.mp4,Irish,The Irish Rover
MPV16-06 - Enrique Iglesias - Hero.mp4,Enrique Iglesias,Hero
"Les Charlots - Paulette, la reine des paupiettes.mp4",Les Charlots,"Paulette, la reine des paupiettes"
Sylvie Vartan - Bye bye love.mp4,Sylvie Vartan,Bye bye love
Nat Kig Cole - Darling Je Vous Aime Beaucoup.mp4,Nat Kig Cole,Darling Je Vous Aime Beaucoup
Alain Barrière - Emporte-moi.mp4,Alain Barrière,Emporte-moi
Richard Anthony - Et je m'en vais.mp4,Richard Anthony,Et je m'en vais
Leann Rimes - Blue.mp4,Leann Rimes,Blue
Christophe Maé - Dingue dingue dingue.mp4,Christophe Maé,Dingue dingue dingue
Grégoire - Nuages.mp4,Grégoire,Nuages
Jean-Jacques Goldman   - Puisque tu pars.mp4,Jean-Jacques Goldman  ,Puisque tu pars
"Daniel Balavoine - Mon fil, ma bataille.mp4",Daniel Balavoine,"Mon fil, ma bataille"
Corynne Charby - Boule de flipper.mp4,Corynne Charby,Boule de flipper
Irish - Black velvet band.mp4,Irish,Black velvet band
Gospel - Onward christian soldier.mp4,Gospel,Onward christian soldier
Frédéric François - On s'embrasse on oublie tout.mp4,Frédéric François,On s'embrasse on oublie tout
"Rika Zaraï - Sans chemise, sans pantalon.mp4",Rika Zaraï,"Sans chemise, sans pantalon"
The Carpenters - We've only just begun.mp4,The Carpenters,We've only just begun
"Grease - 10 Look at Me, I'm Sandra Dee (Reprise).mp4",Grease,"10 Look at Me, I'm Sandra Dee (Reprise)"
France Gall - Débranche.mp4,France Gall,Débranche
Showtunes - Camelot - C' Est Moi .mp4,Camelot,C' Est Moi 
Jacques Brel - L'homme de la Mancha.mp4,Jacques Brel,L'homme de la Mancha
Bryan Adams - Have you really ever loved a woman wvocals.mp4,Bryan Adams,Have you really ever loved a woman wvocals
Philippe Clay - Julie la Rousse.mp4,Philippe Clay,Julie la Rousse
Dean Martin - If You Knew Suzie.mp4,Dean Martin,If You Knew Suzie
Irish - Mountains of Mourne.mp4,Irish,Mountains of Mourne
DEK0536-01 - Everly Bros - Devoted to You.mkv,Everly Bros,Devoted to You
Lucienne Delyle - La valse brune.mp4,Lucienne Delyle,La valse brune
Fleetwood Mac - Go your own way wvovals.mp4,Fleetwood Mac,Go your own way wvovals
Charles Aznavour - Plus bleu que tes yeux.mp4,Charles Aznavour,Plus bleu que tes yeux
Pierre Perret - Lily.mp4,Pierre Perret,Lily
The Platters - Smoke Gets In Your Eyes.mp4,The Platters,Smoke Gets In Your Eyes
MPV16-08 - Blu Cantrell - Hit em Up Style.mp4,Blu Cantrell,Hit em Up Style
Hélène Segara - L'amour est un soleil.mp4,Hélène Segara,L'amour est un soleil
Salvatore Adamo - Les filles du bord de mer.mp4,Salvatore Adamo,Les filles du bord de mer
Florent Mothe & Camille Lou - La légende du roi Arthur- Quelque chose de magique.mp4,Florent Mothe & Camille Lou,La légende du roi Arthur- Quelque chose de magique
The Beatles - She loves you wvocals.mp4,The Beatles,She loves you wvocals
Olivia Newton John - (with John Travolta) We go together wvocal.mp4,Olivia Newton John,(with John Travolta) We go together wvocal
Bénabar - Je suis de celles.mp4,Bénabar,Je suis de celles
Gospel - Because he lives.mp4,Gospel,Because he lives
Gérard Blanc - Une autre histoire.mp4,Gérard Blanc,Une autre histoire
Bobby Darin - Dream Lover.mp4,Bobby Darin,Dream Lover
Salvatore Adamo - Va mon bateau.mp4,Salvatore Adamo,Va mon bateau
The Four Seasons - Sherry.mp4,The Four Seasons,Sherry
Vera Lynn - Besame mucho female english vocals.mp4,Vera Lynn,Besame mucho female english vocals
Gospel - It is no secret wvocals.mp4,Gospel,It is no secret wvocals
The Monotones - Book Of Love.mp4,The Monotones,Book Of Love
The Platters - The great pretender.mp4,The Platters,The great pretender
Dalida - Laissez-moi danser..mp4,Dalida,Laissez-moi danser
Claudio Capéo - Un hommes debout.mp4,Claudio Capéo,Un hommes debout
Showtunes - (Pajama Game) John Raitt - Hey There.mp4,(Pajama Game) John Raitt,Hey There
Dr. Hook - Sylvia's mother.mp4,Dr. Hook,Sylvia's mother
Frank Sinatra - Almost like being in love.mp4,Frank Sinatra,Almost like being in love
Juliette Gréco - Jolie môme.mp4,Juliette Gréco,Jolie môme
Celine Dion with Peabo Bryson - Beauty and the beast wvocals.mp4,Celine Dion with Peabo Bryson,Beauty and the beast wvocals
Nana Mouskouri - L'enfant au tambour.mp4,Nana Mouskouri,L'enfant au tambour
Lagaff' - La zoubida.mp4,Lagaff',La zoubida
Sacha Distel - Tu es le soleil de ma vie.mp4,Sacha Distel,Tu es le soleil de ma vie
Elvis Presley - My boy.mp4,Elvis Presley,My boy
Bill Withers - Lean On Me.mp4,Bill Withers,Lean On Me
Bobby Vinton - Blue On Blue.mp4,Bobby Vinton,Blue On Blue
C. Jérôme - Les filles du samedi soir.mp4,C. Jérôme,Les filles du samedi soir
Tony Bennett- Rags to riches wvocals.mp4,Tony Bennett- Rags to riches wvocals.mp4,
Elvis Presley - Don't cry daddy.mp4,Elvis Presley,Don't cry daddy
