Fichier,Chanteur,Chanson
Alain Barrière - Tu t'en vas (duo).mp4,Alain Barrière,Tu t'en vas (duo)
PMV06-04 - Madonna - Nothing Really Matters.mkv,Madonna,Nothing Really Matters
Zaza Fournier - La vie à deux.mp4,Zaza Fournier,La vie à deux
Karaoké Le chemin - Kyo _.mp4,Karaoké Le chemin,Kyo _
Lara Fabian - La lettre.mp4,Lara Fabian,La lettre
Dick Rivers - C'est pas sérieux.mp4,Dick Rivers,C'est pas sérieux
Ophélie Winter - Shame On You.mp4,Ophélie Winter,Shame On You
"Frank Sinatra - New York, New York.mp4",Frank Sinatra,"New York, New York"
Roberto Alagna - L'amour est un bouquet de violettes.mp4,Roberto Alagna,L'amour est un bouquet de violettes
PMV06-14 - Celine Dion - S'il Suffisait d'Aimer.mkv,Celine Dion,S'il Suffisait d'Aimer
Leann Rimes - How Do I Live.mp4,Leann Rimes,How Do I Live
Donna Summer - Bad girls wvocal.mp4,Donna Summer,Bad girls wvocal
We Love Disney - Etre un homme comme vous .mp4,We Love Disney,Etre un homme comme vous 
Roy Orbison - In dreams.mp4,Roy Orbison,In dreams
Dalida - Il venait d'avoir 18 ans.mp4,Dalida,Il venait d'avoir 18 ans
Léo Ferré - C'est extra.mp4,Léo Ferré,C'est extra
Michel Fugain - Où s'en vont.mp4,Michel Fugain,Où s'en vont
PMV06-02 - Brandy - Have You Ever.mkv,Brandy,Have You Ever
Andrew Lloyd Webber - All I ask of you (wvocals).mp4,Andrew Lloyd Webber,All I ask of you (wvocals)
The Jackson 5 - Never Can Say Goodbye.mp4,The Jackson 5,Never Can Say Goodbye
Serge Gainsbourg - Bonnie And Clyde (avec Brigitte Bardot).mp4,Serge Gainsbourg,Bonnie And Clyde (avec Brigitte Bardot)
Françoise Hardy - Le temps de l'amour.mp4,Françoise Hardy,Le temps de l'amour
"Tony Massarelli - Bambina, bambina.mp4",Tony Massarelli,"Bambina, bambina"
Michel Polnareff - Y a qu'un ch'veu.mp4,Michel Polnareff,Y a qu'un ch'veu
Irish - When Irish eyes are smiling - (musicfromrizzo) traditional (Irish Tenors version).mp4,When Irish eyes are smiling,(musicfromrizzo) traditional (Irish Tenors version)
Joe Dassin - Siffler sur la colline.mp4,Joe Dassin,Siffler sur la colline
Karaoké Femme libérée - Cookie Dingler _.mp4,Karaoké Femme libérée,Cookie Dingler _
Bella Ciao Maitre Gims.mp4,Bella Ciao Maitre Gims.mp4,
Pierre Bachelet - Les Lolas.mp4,Pierre Bachelet,Les Lolas
Dionne Warwick - What The World Needs Now.mp4,Dionne Warwick,What The World Needs Now
Johnny Hallyday - La génération perdue.mp4,Johnny Hallyday,La génération perdue
Cliff Richard - Summer Holiday.mp4,Cliff Richard,Summer Holiday
Sylvie Vartan - Ma reine de Saba.mp4,Sylvie Vartan,Ma reine de Saba
Faith Hill - Piece of my heart wvocal.mp4,Faith Hill,Piece of my heart wvocal
Bourvil - Salade de fruits.mp4,Bourvil,Salade de fruits
Frank Sinatra - Brazil.mp4,Frank Sinatra,Brazil
PMV06-03 - Bon Jovi - Real Life.mkv,Bon Jovi,Real Life
Irish - The Rose of Tralee wvocals.mp4,Irish,The Rose of Tralee wvocals
Dorothée - Hou la menteuse.mp4,Dorothée,Hou la menteuse
Barry Manilow - Looks like we made it.mp4,Barry Manilow,Looks like we made it
Véronique Sanson - King kong.mp4,Véronique Sanson,King kong
Nick Gilder - Hot Child In The City.mp4,Nick Gilder,Hot Child In The City
Eddy Mitchell - Rio Grande.mp4,Eddy Mitchell,Rio Grande
François Feldman - Les valses de Vienne.mp4,François Feldman,Les valses de Vienne
Smokey Robinson - Tracks Of My Tears.mp4,Smokey Robinson,Tracks Of My Tears
Lara Fabian - Tout doucement.mp4,Lara Fabian,Tout doucement
Henri Salvador - Juanita Banana.mp4,Henri Salvador,Juanita Banana
Tony Carreira - J'ai oublié de vivre.mp4,Tony Carreira,J'ai oublié de vivre
Gospel - Great is thy faithfulness.mp4,Gospel,Great is thy faithfulness
Illona Mitrecey - C'est les vacances.mp4,Illona Mitrecey,C'est les vacances
Michel Fugain - Comme un soleil.mp4,Michel Fugain,Comme un soleil
Ricky Martin - She Bangs.mp4,Ricky Martin,She Bangs
Luis Mariano - Rossignol.mp4,Luis Mariano,Rossignol
Alain Souchon - J'ai dix ans (Live 2016).mp4,Alain Souchon,J'ai dix ans (Live 2016)
Lara Fabian - Je suis malade.mp4,Lara Fabian,Je suis malade
Joyce Jonathan - Les souvenirs.mp4,Joyce Jonathan,Les souvenirs
Frank Sinatra - (with Liza Minelli) I've got the world on a string wvocals duet.mp4,Frank Sinatra,(with Liza Minelli) I've got the world on a string wvocals duet
Al Martino - Somewhere my love - Dr. Zhivago (Movie) wvocals.mp4,Somewhere my love,Dr
Elvis Presley - Have I told you lately.mp4,Elvis Presley,Have I told you lately
Début de Soirée - Nuit de folie.mp4,Début de Soirée,Nuit de folie
La Compagnie Créole - Scandale dans la famille.mp4,La Compagnie Créole,Scandale dans la famille
Fiddler On The Roof - Matchmaker.mp4,Fiddler On The Roof,Matchmaker
Serge Reggiani - Villejuif.mp4,Serge Reggiani,Villejuif
Philippe Cataldo - Les divas du dancing.mp4,Philippe Cataldo,Les divas du dancing
Grease - 20 Sandy -  (wvocals).mp4,20 Sandy, (wvocals)
Serge Reggiani - Ma solitude.mp4,Serge Reggiani,Ma solitude
Bernard Lavilliers  - La Salsa.mp4,Bernard Lavilliers ,La Salsa
Claude Nougaro - Tu verras.mp4,Claude Nougaro,Tu verras
Tina Arena - Tu es toujours là .mp4,Tina Arena,Tu es toujours là 
Ricky Martin - Living La Vida Loca.mp4,Ricky Martin,Living La Vida Loca
Tony Bennett - Put on a happy face wvocals.mp4,Tony Bennett,Put on a happy face wvocals
Karaoké Je te donne - Jean-Jacques Goldman _.mp4,Karaoké Je te donne,Jean-Jacques Goldman _
Pierre Rapsat - Tous les reves.mp4,Pierre Rapsat,Tous les reves
Gospel - When the roll is called up yonder wvocals.mp4,Gospel,When the roll is called up yonder wvocals
Hélène Segara - Il attend la pluie.mp4,Hélène Segara,Il attend la pluie
Dick Rivers - La fille dont je rêvais.mp4,Dick Rivers,La fille dont je rêvais
AVCD003-03 - Tom Jones - One Day Soon.mkv,Tom Jones,One Day Soon
Les Compagnos de la Chanson - Le bleu de l'été.mp4,Les Compagnos de la Chanson,Le bleu de l'été
Gilbert Bécaud - La corrida.mp4,Gilbert Bécaud,La corrida
The Weavers - Goodnight Irene.mp4,The Weavers,Goodnight Irene
Tri Yann - Si mort a mors.mp4,Tri Yann,Si mort a mors
The Shorts - Comment ça va.mp4,The Shorts,Comment ça va
Frank Sinatra - Begin The Beguine.mp4,Frank Sinatra,Begin The Beguine
Frank Sinatra - I've got the world on a string.mp4,Frank Sinatra,I've got the world on a string
Khaled - Didi.mp4,Khaled,Didi
Johnny Hallyday - Quand revient la nuit.mp4,Johnny Hallyday,Quand revient la nuit
Steve Miller Band - Fly like an eagle.mp4,Steve Miller Band,Fly like an eagle
Natasha St-Pier - Un ange frappe à ma porte.mp4,Natasha St-Pier,Un ange frappe à ma porte
Il Etait Une Fois - Rien qu'un ciel.mp4,Il Etait Une Fois,Rien qu'un ciel
Hélène Ségara - Loin du froid de décembre.mp4,Hélène Ségara,Loin du froid de décembre
Salvatore Adamo - Mourir dans tes bras.mp4,Salvatore Adamo,Mourir dans tes bras
Serge Lama - L'esclave.mp4,Serge Lama,L'esclave
France Gall - Il jouait du piano debout.mp4,France Gall,Il jouait du piano debout
Grease - 24 We Go Together -  (wvocals).mp4,24 We Go Together, (wvocals)
Yves Jamait - Qu'est ce que tu fous.mp4,Yves Jamait,Qu'est ce que tu fous
STAR200755-13 - Michael Learns to Rock - You'll Never Know.mkv,Michael Learns to Rock,You'll Never Know
Zaz - La complainte de la butte.mp4,Zaz,La complainte de la butte
Yves Duteil - Tarentelle.mp4,Yves Duteil,Tarentelle
Julien Clerc - Double enfance.mp4,Julien Clerc,Double enfance
Frank Sinatra - The best is yet to come wvocals.mp4,Frank Sinatra,The best is yet to come wvocals
Georges Brassens - Les copains d'abord.mp4,Georges Brassens,Les copains d'abord
Showtunes - Phantom of the opera (wvocals).mp4,Showtunes,Phantom of the opera (wvocals)
Elvis Presley - A fool such as I.mp4,Elvis Presley,A fool such as I
STAR200755-06 - Michael Learns to Rock - Breaking My Heart.mkv,Michael Learns to Rock,Breaking My Heart
Georgette Plana - La fille du bédouin.mp4,Georgette Plana,La fille du bédouin
Les Chaussettes Noires - Le twist.mp4,Les Chaussettes Noires,Le twist
Johnny Hallyday - Que je t'aime.mp4,Johnny Hallyday,Que je t'aime
Didier Barbelivien - Quand je t'aime.mp4,Didier Barbelivien,Quand je t'aime
Englebert Humperdink - Am I that easy to forget.mp4,Englebert Humperdink,Am I that easy to forget
Henri Salvador - Le travail c'est la santé.mp4,Henri Salvador,Le travail c'est la santé
Jacques Brel - Bruxelles.mp4,Jacques Brel,Bruxelles
Frankie Avalon - Venus.mp4,Frankie Avalon,Venus
Vianney - On est bien comme ça.mp4,Vianney,On est bien comme ça
The Kendalls - Heaven's just a sin away.mp4,The Kendalls,Heaven's just a sin away
Julien Clerc - Coeur de rocker.mp4,Julien Clerc,Coeur de rocker
David Hallyday - Tu ne m'as pas laissé le temps.mp4,David Hallyday,Tu ne m'as pas laissé le temps
Grégoire - En souvenir de nous.mp4,Grégoire,En souvenir de nous
Niagara - Je dois m'en aller .mp4,Niagara,Je dois m'en aller 
Serge Lama - Le temps de la rengaine.mp4,Serge Lama,Le temps de la rengaine
Frank Sinatra - You Make Me Feel So Young.mp4,Frank Sinatra,You Make Me Feel So Young
Michel Sardou - Ce n'est qu'un jeu.mp4,Michel Sardou,Ce n'est qu'un jeu
Johnny Hallyday - Fils de personne.mp4,Johnny Hallyday,Fils de personne
Sacha Distel - Monsieur Cannibale.mp4,Sacha Distel,Monsieur Cannibale
Pierre Perret - Non j'irai pas chez ma tante.mp4,Pierre Perret,Non j'irai pas chez ma tante
Bobby Vinton  - Red Roses For A Blue Lady.mp4,Bobby Vinton ,Red Roses For A Blue Lady
"Salvatore Adamo - Vous permettez, Monsieur.mp4",Salvatore Adamo,"Vous permettez, Monsieur"
Salvatore Adamo - tes yeux.mp4,Salvatore Adamo,tes yeux
Bill Haley & the Comets - Rock Around The Clock.mp4,Bill Haley & the Comets,Rock Around The Clock
Brooks & Dunn - My Maria.mp4,Brooks & Dunn,My Maria
David Guetta & Sia - Flames.mp4,David Guetta & Sia,Flames
Andy Williams - Dear Heart.mp4,Andy Williams,Dear Heart
Juliette Gréco - L'accordéon.mp4,Juliette Gréco,L'accordéon
Alain Barrière - Toi.mp4,Alain Barrière,Toi
Julien Doré - Les limites.mp4,Julien Doré,Les limites
Dee Clark - So many Raindrops.mp4,Dee Clark,So many Raindrops
Frank Sinatra - Makin' whoopee.mp4,Frank Sinatra,Makin' whoopee
Annie Cordy - Frida oum papa.mp4,Annie Cordy,Frida oum papa
Whitney Houston - What Becomes Of The Brokenhearted.mp4,Whitney Houston,What Becomes Of The Brokenhearted
Téléphone - Argent trop cher.mp4,Téléphone,Argent trop cher
Rick Astley - Never Gonna Give You Up (wvocals).mp4,Rick Astley,Never Gonna Give You Up (wvocals)
Ben E. King - Stand by me wvocals.mp4,Ben E. King,Stand by me wvocals
Julien Clerc - La fille aux bas nylon.mp4,Julien Clerc,La fille aux bas nylon
OFKCAR001-03 - Carpenters - Superstar w~mpex.mkv,Carpenters,Superstar w~mpex
Barbara Streisand - A woman in love.mp4,Barbara Streisand,A woman in love
Doobie Brothers - Listen To The Music.mp4,Doobie Brothers,Listen To The Music
Celine Dion and Andrea Bocelli - The prayer.mp4,Celine Dion and Andrea Bocelli,The prayer
Bee Gees - Stayin' alive wvocals.mp4,Bee Gees,Stayin' alive wvocals
Serge Prisset - Kao kao.mp4,Serge Prisset,Kao kao
Jacques Brel - Jef.mp4,Jacques Brel,Jef
Julio Iglesias and Willie Nelson - To all the girls I've loved before.mp4,Julio Iglesias and Willie Nelson,To all the girls I've loved before
Tom Jones - I'm never gonna fall in love again.mp4,Tom Jones,I'm never gonna fall in love again
Johnny Hallyday - Pas cette chanson.mp4,Johnny Hallyday,Pas cette chanson
Serge Reggiani - La ville de joie.mp4,Serge Reggiani,La ville de joie
Shy'm - Si tu m'aimes encore.mp4,Shy'm,Si tu m'aimes encore
Leann Rimes - Unchained melody wfemale vocal.mp4,Leann Rimes,Unchained melody wfemale vocal
Al Martino - Mary in the morning.mp4,Al Martino,Mary in the morning
Robert Charlebois - Je reviendrai à Montréal.mp4,Robert Charlebois,Je reviendrai à Montréal
Pierre Perret - Les jolies colonies de vacances.mp4,Pierre Perret,Les jolies colonies de vacances
REO Speedwagon - Can't Fight This Feeling.mp4,REO Speedwagon,Can't Fight This Feeling
Gospel - Just as I am wvocals.mp4,Gospel,Just as I am wvocals
Luis Mariano - L'amour est un bouquet de violettes.mp4,Luis Mariano,L'amour est un bouquet de violettes
Bernard Lavilliers - Melody Tempo Harmony.mp4,Bernard Lavilliers,Melody Tempo Harmony
Ute Lemper - Parler d'amour (avec Art Mengo).mp4,Ute Lemper,Parler d'amour (avec Art Mengo)
Pierre Groscolas - Elise et moi.mp4,Pierre Groscolas,Elise et moi
"Ridsa - Là, c'esr die.mp4",Ridsa,"Là, c'esr die"
Gospel - (The Gaithers) He Touched Me.mp4,Gospel,(The Gaithers) He Touched Me
Isabelle Boulay - Il suffirait de presque rien.mp4,Isabelle Boulay,Il suffirait de presque rien
Khaled - Aicha.mp4,Khaled,Aicha
Les Charlots - Merci Patron.mp4,Les Charlots,Merci Patron
Liane Foly - Laisse pleurer les nuages.mp4,Liane Foly,Laisse pleurer les nuages
Elodie Frégè- La ceinture.mp4,Elodie Frégè- La ceinture.mp4,
Brenda Lee - Fool Number One.mp4,Brenda Lee,Fool Number One
Santana - (with Rob Thomas) Smooth.mp4,Santana,(with Rob Thomas) Smooth
Jean Ferrat - Camarade.mp4,Jean Ferrat,Camarade
Johnny Hallyday - Souvenirs souvenirs.mp4,Johnny Hallyday,Souvenirs souvenirs
Tino Rossi - Papa dis le moi (avec Laurent Rossi).mp4,Tino Rossi,Papa dis le moi (avec Laurent Rossi)
Jacques Brel - La chanson des vieux amants.mp4,Jacques Brel,La chanson des vieux amants
Renaud - Manu.mp4,Renaud,Manu
Joe Cocker - You are so beautiful.mp4,Joe Cocker,You are so beautiful
Sylvie Vartan - 2 Minutes 35 de bonheur.mp4,Sylvie Vartan,2 Minutes 35 de bonheur
Alain Barrière - Cathy.mp4,Alain Barrière,Cathy
Mika - Je chante.mp4,Mika,Je chante
Tony Christie - So Deep Is The Night.mp4,Tony Christie,So Deep Is The Night
Karaoké Santiano (version 2010) - Hugues Aufray _.mp4,Karaoké Santiano (version 2010),Hugues Aufray _
Musicals - (The Sound of Music) Edelweiss male vocals.mp4,Musicals,(The Sound of Music) Edelweiss male vocals
Showtunes - (42nd street) We're In The Money.mp4,Showtunes,(42nd street) We're In The Money
Showtunes - (Mary Poppins) Chim chimney.mp4,Showtunes,(Mary Poppins) Chim chimney
La Compagnie Créole - Ça fait rire les oiseaux.mp4,La Compagnie Créole,Ça fait rire les oiseaux
Claude-Michel Schönberg - Le premier pas.mp4,Claude-Michel Schönberg,Le premier pas
Karaoké L'Aziza - Daniel Balavoine _.mp4,Karaoké L'Aziza,Daniel Balavoine _
Celine Dion - All by myself wfemale vocals.mp4,Celine Dion,All by myself wfemale vocals
Larusso - On ne s'aimera plus jamais.mp4,Larusso,On ne s'aimera plus jamais
Sheila - Le cinéma.mp4,Sheila,Le cinéma
Rod Stewart - I love you for sentimental reasons.mp4,Rod Stewart,I love you for sentimental reasons
Frank Michael - Qui plus que nous.mp4,Frank Michael,Qui plus que nous
Supertramp - It's Raining Again.mp4,Supertramp,It's Raining Again
Lucienne Boyer - Mon coeur est un violon.mp4,Lucienne Boyer,Mon coeur est un violon
Georges Moustaki - Joseph.mp4,Georges Moustaki,Joseph
Chicago - Baby what a big surprise.mp4,Chicago,Baby what a big surprise
Showtunes - La cage Aux Follies - I Am What I Am.mp4,La cage Aux Follies,I Am What I Am
Tino Rossi - Le plus beau tango du monde.mp4,Tino Rossi,Le plus beau tango du monde
Serge Reggiani - L'éxilé.mp4,Serge Reggiani,L'éxilé
Art Sullivan - Adieu sois heureuse.mp4,Art Sullivan,Adieu sois heureuse
Frédéric François - Je voudrais dormir près de toi.mp4,Frédéric François,Je voudrais dormir près de toi
Patti Page - How much is that doggie in the window.mp4,Patti Page,How much is that doggie in the window
Tony Orlando & Dawn - Knock three times.mp4,Tony Orlando & Dawn,Knock three times
Dean martin - You're Nobody 'till Somebody Loves You.mp4,Dean martin,You're Nobody 'till Somebody Loves You
Yves Simon - Diabolo menthe.mp4,Yves Simon,Diabolo menthe
Charles Aznavour - Sur ma vie.mp4,Charles Aznavour,Sur ma vie
Edith Piaf - La foule.mp4,Edith Piaf,La foule
Englebert Humperdink - This moment in time.mp4,Englebert Humperdink,This moment in time
Frank Sinatra - That's Life.mp4,Frank Sinatra,That's Life
Jacques Dutronc - Gentleman Cambrioleur.mp4,Jacques Dutronc,Gentleman Cambrioleur
Mireille Mathieu - On ne vit pas sans se dire adieu.mp4,Mireille Mathieu,On ne vit pas sans se dire adieu
Bob Marley - Is this love.mp4,Bob Marley,Is this love
Irisih - Across the sea (Galway Bay).mp4,Irisih,Across the sea (Galway Bay)
Crazy Horse - J'ai tant besoin de toi.mp4,Crazy Horse,J'ai tant besoin de toi
Claudia Sylva - J'ai pleuré.mp4,Claudia Sylva,J'ai pleuré
Bénabar - La berceuse.mp4,Bénabar,La berceuse
Niagara - Tchiki boum.mp4,Niagara,Tchiki boum
Renaud - P'tite conne.mp4,Renaud,P'tite conne
Elisa Tovati & Tom Dice - Il nous faut.mp4,Elisa Tovati & Tom Dice,Il nous faut
Andy Williams - Where do I begin (Love story theme).mp4,Andy Williams,Where do I begin (Love story theme)
PMV06-08 - Spice Girls  - My Strongest Suit.mkv,Spice Girls ,My Strongest Suit
Herb Albert - This Guy's In Love With You.mp4,Herb Albert,This Guy's In Love With You
Ginette Reno - Ça pleure aussi un homme.mp4,Ginette Reno,Ça pleure aussi un homme
Téléphone - Cendrillon.mp4,Téléphone,Cendrillon
Jean-Jacques Goldman   - Envole-moi.mp4,Jean-Jacques Goldman  ,Envole-moi
Sheila - Vous les copains.mp4,Sheila,Vous les copains
Traditional - Where have all the flowers gone.mp4,Traditional,Where have all the flowers gone
Yves Duteil - Jusqu'où je t'aime.mp4,Yves Duteil,Jusqu'où je t'aime
Eddy Arnold - Make the world go away wvocals.mp4,Eddy Arnold,Make the world go away wvocals
"Showtunes - The King And I, The - Shall We Dance.mp4","The King And I, The",Shall We Dance
C. Jérôme - Et tu danses avec lui.mp4,C. Jérôme,Et tu danses avec lui
Johnny Hallyday - Je serai là.mp4,Johnny Hallyday,Je serai là
Renaud - Elle a vu le loup.mp4,Renaud,Elle a vu le loup
Vera Lynn - I'll Be Seeing You.mp4,Vera Lynn,I'll Be Seeing You
"choeur de chambre Krajobrazy, video de présentation.mp4","choeur de chambre Krajobrazy, video de présentation.mp4",
Doris Day - Sugarbush.mp4,Doris Day,Sugarbush
Patriotic - God bless America (Leann Rimes) wvocals SC.mp4,Patriotic,God bless America (Leann Rimes) wvocals SC
Serge Lama - Socrate.mp4,Serge Lama,Socrate
Nicoletta - Les volets clos.mp4,Nicoletta,Les volets clos
Georges Guétary - C'est la vie de bohème.mp4,Georges Guétary,C'est la vie de bohème
Herb Albert - Feelings.mp4,Herb Albert,Feelings
Elvis Presley - Until its time for you to go.mp4,Elvis Presley,Until its time for you to go
Don Gibson - Oh Lonesome Me.mp4,Don Gibson,Oh Lonesome Me
Doris Day - Que sera sera.mp4,Doris Day,Que sera sera
DEK0536-05 - Everly Bros - Crying in the Rain.mkv,Everly Bros,Crying in the Rain
Sylvie Vartan - Je te cherche.mp4,Sylvie Vartan,Je te cherche
Gospel - I've got peace like a river wvocals.mp4,Gospel,I've got peace like a river wvocals
Andy Gibb - An Everlasting Love.mp4,Andy Gibb,An Everlasting Love
Elmer Food Beat - Daniela.mp4,Elmer Food Beat,Daniela
Jane Birkin - Di doo dah.mp4,Jane Birkin,Di doo dah
Jean Lumière - Plaisirs d'amour.mp4,Jean Lumière,Plaisirs d'amour
Jacques Higelin - Champagne.mp4,Jacques Higelin,Champagne
Dobie Gray - Drift away.mp4,Dobie Gray,Drift away
Marilyn McCoo & Billy Davis jr - You Don't Have To Be A Star.mp4,Marilyn McCoo & Billy Davis jr,You Don't Have To Be A Star
Showtunes - (De lovely) You're the top wvocal.mp4,Showtunes,(De lovely) You're the top wvocal
Irish - I'll take you home again Kathleen.mp4,Irish,I'll take you home again Kathleen
Serge Reggiani - La maison qui n'existe plus.mp4,Serge Reggiani,La maison qui n'existe plus
Stephan Eicher - Déjeuner en paix.mp4,Stephan Eicher,Déjeuner en paix
Lorie - J'ai besoin d'amour.mp4,Lorie,J'ai besoin d'amour
Conway Twitty - It's only make believe.mp4,Conway Twitty,It's only make believe
Paul Anka - My way.mp4,Paul Anka,My way
Perry Como - Catch a falling star wvocals.mp4,Perry Como,Catch a falling star wvocals
Soprano - Barman.mp4,Soprano,Barman
Children's - Row Row Your Boat.mp4,Children's,Row Row Your Boat
Tom Jones - I'm Coming Home.mp4,Tom Jones,I'm Coming Home
Jacques Brel - Madeleine.mp4,Jacques Brel,Madeleine
Salvatore Adamo - N'est ce pas merveilleux.mp4,Salvatore Adamo,N'est ce pas merveilleux
Line Renaud - Copacabana.mp4,Line Renaud,Copacabana
Benjamin Biolay - La superbe.mp4,Benjamin Biolay,La superbe
Pierre Rapsat - C'est toujours un mystère.mp4,Pierre Rapsat,C'est toujours un mystère
Donna Summer - Hot stuff.mp4,Donna Summer,Hot stuff
Les Dix Commandements - L'envie d'aimer.mp4,Les Dix Commandements,L'envie d'aimer
Frank Sinatra - I've Got You Under My Skin.mp4,Frank Sinatra,I've Got You Under My Skin
Grégoire - Danse.mp4,Grégoire,Danse
karaoke.csv,karaoke.csv,
"Frozen - Libérée, délivrée.mp4",Frozen,"Libérée, délivrée"
Frédéric François - Il est déjà trop tard.mp4,Frédéric François,Il est déjà trop tard
Stromae - Papaoutai.mp4,Stromae,Papaoutai
Viktor Lazlo - Pleurer des rivières.mp4,Viktor Lazlo,Pleurer des rivières
Louane - Maman.mp4,Louane,Maman
Georgette Plana - L'hirondelle du faubourg.mp4,Georgette Plana,L'hirondelle du faubourg
Tropical Family - Angela.mp4,Tropical Family,Angela
Les Forbans - Flip Flap.mp4,Les Forbans,Flip Flap
Léo Ferré - Les anarchistes.mp4,Léo Ferré,Les anarchistes
KC & The Sunshine Band - Please don't go.mp4,KC & The Sunshine Band,Please don't go
Jo Stafford - You belong to me.mp4,Jo Stafford,You belong to me
Chimène Badi - Je viens du sud.mp4,Chimène Badi,Je viens du sud
Claude Nougaro - Une petite fille.mp4,Claude Nougaro,Une petite fille
Sylvie Vartan - Fini de pleurer.mp4,Sylvie Vartan,Fini de pleurer
Barry Mann - Who Put The Bomp.mp4,Barry Mann,Who Put The Bomp
Michel Sardou - Salut.mp4,Michel Sardou,Salut
Showtunes - (Oklahoma) Oh what a beautiful morning wvocals.mp4,Showtunes,(Oklahoma) Oh what a beautiful morning wvocals
Il Etait Une Fois - Viens faire un tour sous la pluie.mp4,Il Etait Une Fois,Viens faire un tour sous la pluie
Jacques Higelin - Pars.mp4,Jacques Higelin,Pars
Traditional - Love lifted me.mp4,Traditional,Love lifted me
Lilicub - Voyage en Italie.mp4,Lilicub,Voyage en Italie
Al Martino - (Theme from The Godfather movie) Speak softly love.mp4,Al Martino,(Theme from The Godfather movie) Speak softly love
Coeur de Pirate - Comme des enfants.mp4,Coeur de Pirate,Comme des enfants
Jennifer Warnes - (with Bill Medley) I've Had The Time Of My Life(Duet).mp4,Jennifer Warnes,(with Bill Medley) I've Had The Time Of My Life(Duet)
Elvis Presley - You don't have to say you love me.mp4,Elvis Presley,You don't have to say you love me
Barbara Mandrell - Sleeping single in a double bed.mp4,Barbara Mandrell,Sleeping single in a double bed
Andy Williams - Born free.mp4,Andy Williams,Born free
Italian - You're breaking my heart wvocal.mp4,Italian,You're breaking my heart wvocal
Paul Anka - Put your head on my shoulder.mp4,Paul Anka,Put your head on my shoulder
Celine Dion and Andrea Bocelli - The prayer wvocal.mp4,Celine Dion and Andrea Bocelli,The prayer wvocal
Serge Reggiani - Ballade pour un traître.mp4,Serge Reggiani,Ballade pour un traître
Danny Brillant - Bambino.mp4,Danny Brillant,Bambino
Dean Martin - I Wonder Who's Kissing Her Now.mp4,Dean Martin,I Wonder Who's Kissing Her Now
Patrick Sébastien - Comment ça va.mp4,Patrick Sébastien,Comment ça va
Tropical Family - Mélissa.mp4,Tropical Family,Mélissa
Patriotic - My Country Tis Of Thee.mp4,Patriotic,My Country Tis Of Thee
Irish - Isle of Innisfree.mp4,Irish,Isle of Innisfree
Dean Martin - I will wvocals.mp4,Dean Martin,I will wvocals
Zebda - Tomber la chemise.mp4,Zebda,Tomber la chemise
Francis Lemarque - Marjolaine.mp4,Francis Lemarque,Marjolaine
Standards - Once upon a time wvocals.mp4,Standards,Once upon a time wvocals
Placido Domingo - Besame mucho.mp4,Placido Domingo,Besame mucho
Village People - Macho Man.mp4,Village People,Macho Man
Gold - Ville de lumière.mp4,Gold,Ville de lumière
Irish - The Rose Of Clare.mp4,Irish,The Rose Of Clare
Jacques Brel - Le plat pays.mp4,Jacques Brel,Le plat pays
Mike Brant - Qui saura.mp4,Mike Brant,Qui saura
Three Dog Night - Just an old fashioned love song wvocals.mp4,Three Dog Night,Just an old fashioned love song wvocals
Shake - Soleil aide-moi.mp4,Shake,Soleil aide-moi
Johnny Mathis - The Twelfth Of Never.mp4,Johnny Mathis,The Twelfth Of Never
Natasha St-Pier - Tous les Acadiens.mp4,Natasha St-Pier,Tous les Acadiens
Alain Barrière - Plus je t'entends.mp4,Alain Barrière,Plus je t'entends
The Esquires - Get On Up.mp4,The Esquires,Get On Up
Tino Rossi - La petite église.mp4,Tino Rossi,La petite église
Joe Dassin - L'été indien.mp4,Joe Dassin,L'été indien
Gilbert Bécaud - L'orange.mp4,Gilbert Bécaud,L'orange
Wild Cherry - Play that funky music wvocals.mp4,Wild Cherry,Play that funky music wvocals
Chess - One Night In Bangkok.mp4,Chess,One Night In Bangkok
Isabelle Boulay - L'italien.mp4,Isabelle Boulay,L'italien
Sheryfa Luna - Quelque part.mp4,Sheryfa Luna,Quelque part
Bing Crosby - In The Good Old Summertime.mp4,Bing Crosby,In The Good Old Summertime
Petula Clark - Petite fleur.mp4,Petula Clark,Petite fleur
Georges Brassens - Brave Margot.mp4,Georges Brassens,Brave Margot
Annie Cordy - La bonne du curé.mp4,Annie Cordy,La bonne du curé
Karaoké Elle a les yeux revolver - Marc Lavoine _.mp4,Karaoké Elle a les yeux revolver,Marc Lavoine _
Captain & tenille - Come In From The Rain.mp4,Captain & tenille,Come In From The Rain
Roch Voisine - Comme j'ai toujours envie d'aimer.mp4,Roch Voisine,Comme j'ai toujours envie d'aimer
Spanish - She bangs (Ricky Martin).mp4,Spanish,She bangs (Ricky Martin)
Nolwenn Leroy - Une femme cachée.mp4,Nolwenn Leroy,Une femme cachée
Vicky Léandros - Notre tango d'amour.mp4,Vicky Léandros,Notre tango d'amour
Serge Reggiani - Arthur où as tu mis le corps.mp4,Serge Reggiani,Arthur où as tu mis le corps
"Garou - Du vent, des mots (avec Charlotte Cardin).mp4",Garou,"Du vent, des mots (avec Charlotte Cardin)"
Al Martino - Spanish eyes (SC).mp4,Al Martino,Spanish eyes (SC)
The Beach Boys - Do You Wanna Dance.mp4,The Beach Boys,Do You Wanna Dance
